proid	parent1	parent2	progeny	parent_1	parent_2	qq_uu	which_mother	nloci
E1522:250271955	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	3935	3	3	1523.72306101465	1	9081
B3549:250273213	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	3146	3	3	1485.95923735675	1	9066
A4171:250417420	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	2160	3	3	1502.27235987056	1	9037
A3487:250413256	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	1902	3	3	1455.85800977227	1	8912
A2259:250441896	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	1149	3	3	1461.57656759936	1	9058
A2296:250412422	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	1173	3	3	1536.24007343868	1	9117
A2490:250412553	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	1276	3	3	1473.24183880972	1	8954
E2369:250284075	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	4410	3	3	1487.3084662194	1	9106
A5212:250421368	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	2563	3	3	1520.29337792009	1	9122
A3091:250412986	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	1692	3	3	1471.09293726593	1	9098
E1243:250310592	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	3799	3	3	1485.4815092771	1	9080
A3653:250413376	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	1991	3	3	1456.55220985115	1	8988
E0079:250277623	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	3254	3	3	1415.41417086241	1	9042
A4374:250441932	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	2251	3	3	1417.49835621274	1	9057
A1754:250416863	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	879	3	3	1469.56446695541	1	9053
E1528:250271959	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	3939	3	3	1462.94554966971	1	9062
E0795:250277902	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	3604	3	3	1481.6957452835	1	9047
