kid,nhet,kerr10,kerr12,nmaj,kerr01,kerr02,nmnr,kerr20,kerr21,er0,er1,er2,toter
B3470:250273171,26080,0,0.000383435582822086,175211,5.13666379393988e-05,5.70740421548875e-05,6435,0,0,0.000108440680094286,0.000383435582822086,0,0.000139606982274727
A2039:250417024,31738,0.000283571743651144,0,180417,6.09698642589113e-05,0,5067,0,0,6.09698642589113e-05,0.000283571743651144,0,9.20717054441999e-05
E2050:250284424,28386,0.000317057704502219,0.000704572676671599,170827,6.43926311414472e-05,0.000117077511166268,5160,0,0,0.000181470142307715,0.00102163038117382,0,0.000293580854613868
A4236:250417451,30151,0,0.000331663958077676,181792,0,5.50079211406443e-05,5388,0,0,5.50079211406443e-05,0.000331663958077676,0,9.20255278814343e-05
A4353:250417533,30151,0.000298497562269908,0,181792,0,0,5388,0,0,0,0.000298497562269908,0,4.14114875466454e-05
A5849_1:250442002,30151,0,0.000331663958077676,181792,0,5.50079211406443e-05,5388,0,0,5.50079211406443e-05,0.000331663958077676,0,9.20255278814343e-05
A0377:250415923,30151,0.000298497562269908,0.000331663958077676,181792,0,5.50079211406443e-05,5388,0,0,5.50079211406443e-05,0.000630161520347584,0,0.00013343701542808
E0115:250277638,26471,0.000453326281591175,0.000566657851988969,174450,3.43938091143594e-05,8.59845227858985e-05,5723,0,0.000698934125458675,0.000120378331900258,0.00101998413358014,0.000698934125458675,0.000251640502506727
A5734:250420986,26705,0,0,171947,0,0,4541,0,0,0,0,0,0
A0926:250416345,25576,0,0,173392,5.76727876718649e-06,0,5452,0,0,5.76727876718649e-06,0,0,4.89188924762743e-06
A5578_1:250441838,25576,0,0,173392,0,0,5452,0,0,0,0,0,0
E2832:250272696,26471,0.000453326281591175,0.000566657851988969,174450,6.87876182287188e-05,8.59845227858985e-05,5723,0,0.00122313471955268,0.000154772141014617,0.00101998413358014,0.00122313471955268,0.000295193666402122
A5181:250421357,26471,0.000528880661856371,0.000528880661856371,174450,2.86615075952995e-05,8.02522212668386e-05,5723,0,0.000873667656823344,0.000108913728862138,0.00105776132371274,0.000873667656823344,0.000251640502506727
A5211:250421367,27472,0.000436808386721025,0.000364006988934188,172053,4.64973002505042e-05,5.81216253131303e-05,5200,0,0.000192307692307692,0.000104618925563634,0.000800815375655213,0.000192307692307692,0.000200268653071193
