kid,nhet,kerr10,kerr12,nmaj,kerr01,kerr02,nmnr,kerr20,kerr21
13FL991682:250306302,6433,0.400746152650396,0.29799471475206,75949,0.00113233880630423,0.0252406219963396,754,0.0013262599469496,0.0026525198938992
13FL992761:250308835,7095,0.36800563777308,0.284566596194503,82982,0.000795353209129691,0.0243305777156492,841,0.0130796670630202,0.00237812128418549
14FL990731:250409914,5555,0.376057605760576,0.289288928892889,57672,0.00015605493133583,0.0278644749618532,702,0,0
13FL990382:250294626,6801,0.364211145419791,0.294956624025879,81182,0.00117021014510606,0.024709911064029,806,0,0.00496277915632754
13FL991091:250307382,7672,0.347758081334724,0.289363920750782,77566,0.000966918495216976,0.0286207874584225,1000,0,0
13FL991685:250306305,6080,0.399013157894737,0.299671052631579,73084,0.000848338897706748,0.0249302172842209,703,0.00284495021337127,0.00284495021337127
13FL992720:250308795,5951,0.394219458914468,0.31675348680894,70811,0.000607250285972518,0.0266201578850744,649,0,0.00154083204930663
13FL990033:250304363,2757,0.45556764599202,0.334784185709104,60427,0.00125771592169064,0.0152746288910586,633,0.0110584518167457,0.00315955766192733
14FL992124:250411432,5577,0.403263403263403,0.294423525192756,68218,0.000835556597965346,0.0240698935764754,604,0,0.00496688741721854
14FL992681:250411970,6527,0.360808947449058,0.29217098207446,77811,0.000565472748069039,0.0245081029674468,765,0.00130718954248366,0
14FL991779:250411057,6585,0.365983295368261,0.278056188306758,78039,0.000371609067261241,0.0234626276605287,731,0,0.00136798905608755
13FL992539:250308439,5996,0.401434289526351,0.315210140093396,73163,0.000669737435589027,0.0258327296584339,703,0,0.00142247510668563
13FL991237:250305896,3407,0.414147343704139,0.321984150278838,72503,0.0004275685144063,0.0151304083968939,753,0,0.00132802124833997
14FL992495:250411784,3313,0.40024147298521,0.319046181708421,71176,0.000561987186692143,0.0148505114083399,698,0,0
13FL990155:250294369,7733,0.340230182335445,0.261864735548946,90895,0.000693107431651906,0.0222784531602398,889,0.00112485939257593,0.00337457817772778
13FL992857:250308949,6836,0.379900526623757,0.296372147454652,71303,0.000603060179796082,0.0284139517271363,883,0.00226500566251416,0.00113250283125708
14FL990773:250409950,4167,0.379649628029758,0.315094792416607,52395,0.000286286859433152,0.0250596430957152,434,0.00230414746543779,0.00230414746543779
13FL992023:250307825,7428,0.372509423801831,0.27315562735595,77154,0.0124037639007699,0.026298053244161,961,0.0374609781477627,0.0520291363163371
14FL992023:250411319,4643,0.412448847727762,0.318113288821882,57190,0.00188844203532086,0.0258261933904529,530,0.00566037735849057,0.0226415094339623
14FL991297:250410555,3320,0.402409638554217,0.305421686746988,68279,0.000292915830636067,0.0148508326132486,722,0,0
14FL992079:250411398,6911,0.367819418318622,0.268267978584865,82661,0.000895222656391769,0.0224289568236532,797,0.00250941028858218,0.00878293601003764
13FL990857:250307080,6855,0.362654996353027,0.274690007293946,79040,0.00249240890688259,0.0238233805668016,812,0.00492610837438424,0.0135467980295567
13FL991588:250306184,6973,0.369998565897031,0.28251828481285,82671,0.00105236419058678,0.0238293960397237,817,0.00122399020807834,0.00611995104039168
14FL991992:250411294,3375,0.399703703703704,0.318814814814815,72043,0.000680149355246172,0.0149355246172425,742,0,0.00404312668463612
13FL990988:250307254,5227,0.378037114979912,0.292328295389325,67025,0.000507273405445729,0.0227974636329728,555,0,0
13FL991970:250307780,5587,0.357436907105781,0.298013245033113,72173,0.000595790669641002,0.0230695689523783,638,0,0.00156739811912226
14FL990344:250409491,4654,0.389987107864203,0.286205414697035,62335,0.000818159942247534,0.0213684126092885,497,0.00201207243460765,0.00402414486921529
13FL991493:250349624,5232,0.370030581039755,0.289755351681957,69153,0.00417913901059968,0.0219224039448759,577,0.00519930675909879,0.0138648180242634
14FL992843:250412119,5181,0.38062150164061,0.29183555298205,68459,0.000496647628507574,0.0220862121853956,526,0,0
14FL991905:250411192,4848,0.393151815181518,0.302186468646865,64227,0.00124558207607393,0.0228097217681038,486,0.00205761316872428,0.00205761316872428
13FL992554:250308453,5081,0.374138949025782,0.314111395394607,66930,0.000881518003884656,0.0238458090542358,549,0.00364298724954463,0.00182149362477231
13FL992288:250308144,5760,0.347743055555556,0.281076388888889,73986,0.000635255318573784,0.0218825183142757,603,0,0.00165837479270315
14FL991763:250411044,5148,0.349456099456099,0.313519813519814,68776,0.000523438408747237,0.0234674886588345,549,0,0
14FL991511:250410816,5676,0.354474982381959,0.282064834390416,74233,0.000754381474546361,0.0215672275133701,637,0,0
14FL991097:250410322,5128,0.376365054602184,0.289391575663027,66432,0.000421483622350674,0.0223386319845857,538,0.00185873605947955,0.00185873605947955
13FL992977:250426833,4181,0.416407558000478,0.316192298493183,56622,0.00630496979972449,0.0233478153367949,461,0.0195227765726681,0.0281995661605206
13FL990728:250295021,6407,0.329639456844077,0.252536288434525,81452,0.00540195452536463,0.0198644600500909,709,0.0112834978843441,0.0239774330042313
13FL992578:250308474,4711,0.406283167055827,0.318403735937168,61908,0.000823803062609033,0.0242295018414421,504,0,0.00396825396825397
14FL991933:250411213,4234,0.403873405762872,0.316013226263581,56389,0.000532018656120875,0.023728032062991,447,0.00223713646532438,0
13FL992625:250308675,5390,0.376808905380334,0.297031539888683,69500,0.000776978417266187,0.0230359712230216,609,0,0
13FL992031:250307831,5714,0.359817990899545,0.305390269513476,73728,0.000949435763888889,0.0236680772569444,598,0,0.00167224080267559
14FL990977:250410185,3567,0.4076254555649,0.366975049060835,48726,0.000451504330336986,0.0268645076550507,391,0.00255754475703325,0
13FL991397:250308614,4906,0.387280880554423,0.313697513249083,64828,0.000971802307644845,0.0237397420867526,487,0.00205338809034908,0
14FL992463:250411733,5066,0.376036320568496,0.304579549940782,67172,0.000937890787828262,0.0229708807241112,568,0,0.00176056338028169
14FL990258:250409385,4835,0.365046535677353,0.307962771458118,63657,0.000486984934885401,0.0233909860659472,520,0.00192307692307692,0
13FL991185:250307468,4422,0.398009950248756,0.32157394843962,58741,0.000885241994518309,0.0242079637731738,479,0.00208768267223382,0.00417536534446764
14FL990325:250409444,4777,0.351057148838183,0.3215407159305,63790,0.000846527668913623,0.0240790092490986,529,0,0.00378071833648393
13FL991231:250305891,5111,0.387986695362943,0.306202308745842,66895,0.000926825622243815,0.0233948725614769,572,0.00174825174825175,0
14FL990612:250409781,4653,0.380184826993338,0.307328605200946,62091,0.000241580905445234,0.0230307129857789,463,0.00215982721382289,0
14FL991644:250410936,5860,0.366894197952218,0.270477815699659,75071,0.00210467424171784,0.0211133460324226,623,0.0112359550561798,0.00963081861958266
14FL990815:250410016,3793,0.39546533087266,0.311099393619826,51337,0.00200635019576524,0.0229853711747862,350,0.00857142857142857,0.0171428571428571
13FL990001:250304331,5230,0.392351816443595,0.296367112810707,67848,0.000471642494988798,0.0228451833510199,546,0,0
13FL991567:250306166,5579,0.372109697078329,0.286968990858577,72410,0.000649081618560972,0.0221102057726833,618,0.00161812297734628,0
13FL990143:250294358,5197,0.382720800461805,0.317298441408505,67547,0.000384917168786179,0.0244126312049388,605,0.00165289256198347,0
13FL991703:250306323,6681,0.323155216284987,0.24637030384673,84456,0.000864355403997348,0.0194894382873923,765,0,0.00392156862745098
13FL992158:MERGE,6784,0.298791273584906,0.232753537735849,85321,0.00107828084527842,0.0185065810292894,763,0,0.00524246395806029
14FL992035:250411331,4157,0.396199182102478,0.319701707962473,56397,0.00106388637693494,0.023565083249109,431,0.00232018561484919,0
13FL991617:250306242,4247,0.370850011773016,0.318813279962326,55449,0.000631210662049812,0.0244188353261556,459,0,0
13FL990432:250294674,5436,0.353384841795438,0.293966151582046,71128,0.00182769092340569,0.0224665391969407,604,0.00496688741721854,0.0115894039735099
13FL992012:250307818,5173,0.379470326696308,0.327469553450609,66596,0.000825875427953631,0.0254369631809718,570,0.00175438596491228,0
13FL992909:250308991,4814,0.398836726215206,0.29206481096801,62870,0.00769842532209321,0.0223636074439319,524,0.0324427480916031,0.0381679389312977
14FL990480:250409642,3227,0.406569569259374,0.343662844747443,44342,0.000451039646384917,0.0250101483920437,315,0,0
14FL990583:250409760,4362,0.389958734525447,0.301925722145805,59070,0.000440155747418317,0.0222955815134586,474,0.00210970464135021,0.00421940928270042
13FL990438:250294711,5664,0.363347457627119,0.283898305084746,73772,0.000786206148674294,0.0217968877080735,641,0,0
14FL992584:250411854,5124,0.385636221701795,0.301912568306011,66150,0.000302343159486017,0.0233862433862434,483,0,0
14FL990163:250409263,5531,0.367745434821913,0.297595371542217,70237,0.000327462733317197,0.023434941697396,591,0,0
14FL992101:250411415,5047,0.371507826431544,0.305329898949871,67985,0.000603074207545782,0.0226667647275134,551,0,0.00181488203266788
14FL991497:250410805,5247,0.369735086716219,0.283400038117019,68171,0.000777456689794781,0.0218127942966951,553,0.00180831826401447,0.00180831826401447
14FL992291:250411573,4199,0.401047868540129,0.333889021195523,55476,0.000288413007426635,0.0252721897757589,374,0,0
13FL992816:250308917,5040,0.404960317460317,0.304365079365079,64547,0.000743644166266441,0.0237656281469317,536,0,0.00186567164179104
13FL992599:250308651,5347,0.360014961660744,0.294557695904245,70166,0.000741099677906678,0.0224467690904427,604,0,0
14FL991643:250410935,4760,0.38718487394958,0.303781512605042,63853,0.000360202339749111,0.0226457644903137,509,0,0
14FL992674:250411963,4346,0.369075011504832,0.343994477680626,56634,0.000882861885086697,0.0263975703640922,426,0.00234741784037559,0
